,actor id,actor name,character,gender,movie id,movie release year,title,age,place of birth
332,1979,Kevin Spacey,Eugene Simonet,Male,10647,2000,Pay It Forward,41,"South Orange, New Jersey, USA"
333,11867,Eric Mabius,Alex Corvis,Male,9456,2000,The Crow: Salvation,29,Harrisburg - Pennsylvania - USA
334,84213,Bill Farmer,Goofy (voice),Male,15653,2000,An Extremely Goofy Movie,48,"Pratt, Kansas, USA"
335,65871,Amanda Schull,Jody Sawyer,Female,10560,2000,Center Stage,22,Honolulu - Hawaii - USA
336,67778,Jonathan Lipnicki,Tony Thompson,Male,24100,2000,The Little Vampire,10,"Westlake Village, California, USA"
337,5577,Chris O'Donnell,Peter Garrett,Male,11678,2000,Vertical Limit,30,"Winnetka, Illinois, USA"
338,33654,Breckin Meyer,Josh Parker,Male,9285,2000,Road Trip,26,"Minneapolis, Minnesota, USA"
339,14408,Matthew Perry,"Nicholas ""Oz"" Oseransky",Male,2069,2000,The Whole Nine Yards,31,"Williamstown, Massachusetts, USA"
340,4994,Ryo Ishibashi,Shigeharu Aoyama,Male,11075,2000,Audition,44,"Kurume, Fukuoka, Kyushu, Japan"
341,76621,Will Friedle,Terence 'Terry' McGinnis / Batman,Male,16234,2000,Batman Beyond: Return of the Joker,24,"Hartford, Connecticut, USA"
342,68494,Justin Whalin,Ridley Freeborn,Male,11849,2000,Dungeons & Dragons,26,"San Francisco, California, USA"
343,9601,Kenneth Mars,Grandpa,Male,24102,2000,The Land Before Time VII: The Stone of Cold Fire,65,"Chicago, Illinois, USA"
344,66161,Harry Enfield,Kevin,Male,10597,2000,Kevin & Perry Go Large,39,
345,35769,Christopher Masterson,Geoffrey,Male,10473,2000,DragonHeart: A New Beginning,20,Long Island - New York - USA
346,38559,Christopher Lambert,Connor MacLeod,Male,12211,2000,Highlander: Endgame,43,"Great Neck, Long Island, New York, USA"
347,1573322,Shawn Driscoll,U-2 Pilot,Male,11973,2000,Thirteen Days,0,
348,22108,Skeet Ulrich,Kevin Mitnick,Male,10429,2000,Takedown,30,"Lynchburg, Virginia, USA"
349,41421,Jennifer Morrison,Amy Mayfield,Female,12212,2000,Urban Legends: Final Cut,21,"Chicago, Illinois, USA"
350,33,Gary Sinise,Jim McConnell,Male,2067,2000,Mission to Mars,45,"Blue Island, Illinois, USA"
351,73249,Lee Jung-jae,Han Sung-hyun,Male,12650,2000,Il Mare,27,"Seoul, Korea"
352,47,Björk,Selma Jezkova,Female,16,2000,Dancer in the Dark,35,"Reykjavík, Iceland"
353,7883,Ralph Eggleston,Bird (voice) (uncredited),Male,13930,2000,For the Birds,0,
354,69597,Drew Barrymore,Fantasy Girl,Female,41282,2000,Skipped Parts,25,"Culver City, California, USA"
355,5823,Julie Andrews,Queen Clarisse Renaldi,Female,9880,2001,The Princess Diaries,66,"Walton-on-Thames, Surrey, England, UK"
356,57607,Stephen Chow,Sing,Male,11770,2001,Shaolin Soccer,39,香港
357,69210,Chyler Leigh,Janey Briggs,Female,11397,2001,Not Another Teen Movie,19,"Charlotte, North Carolina, USA"
358,49025,Samuel Le Bihan,Grégoire de Fronsac,Male,6312,2001,Brotherhood of the Wolf,36,"Avranches, Francia"
