,movie id,overview,popularity rank,release year,title,budget,revenue,actor id,actor name,character,gender
27,2119,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",28,1990,Days of Thunder,60000000,157920733,500.0,Tom Cruise,Cole Trickle,Male
28,39100,"The evil Dr. Kochin uses the dragon balls to resurrect his mentor, Dr. Wheelo, in an effort to take over the world. Dr. Wheelo, his body having been destroyed by the avalanche that killed him fifty years before, desires the body of the strongest fighter in the world as his new vessel. Believing Roshi to be the world's strongest warrior, Dr. Kochin abducts Bulma and forces Roshi to surrender himself to save her. When Goku hears of their abduction, he goes to their rescue.",29,1990,Dragon Ball Z: The World's Strongest,0,0,90496.0,Masako Nozawa,Son Goku / Son Gohan (voice),Female
29,39101,The Saiyajin named Turlus has come to Earth in order to plant a tree that will both destroy the planet and give him infinite strength. Son Goku and the Z Warriors cannot let this happen and duke it out with the invaders for the sake of the planet.,30,1990,Dragon Ball Z: The Tree of Might,0,0,90496.0,Masako Nozawa,Son Goku / Turles / Son Gohan (voice),Female
30,10166,"A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?",31,1990,The Witches,0,15360553,5657.0,Anjelica Huston,Miss Eva Ernst,Female
31,11005,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",32,1990,Awakenings,0,52096475,380.0,Robert De Niro,Leonard Lowe,Male
32,53932,"The Ages of Lulu is a gruelling sensual odyssey from Spanish director Bigas Luna, made immediately prior to his popular trilogy Jamón, jamón (1992), Golden Balls (1993) and The Tit and the Moon (1994). Starting as the somewhat queasy story of the young Lulu's affair with the manipulative Pablo (Oscar Ladoire), the movie takes a much darker turn once they are wed. It is conventional cinematic wisdom that there's no such thing as sex after marriage, but here Lulu's husband incomprehensibly leads her into blindfolded relationships with others, then is heartbroken when she reacts with disgust.",33,1990,The Ages Of Lulu,0,0,3809.0,Francesca Neri,Lulú,Female
33,9322,"A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance - as a secret political assassin controlled by the government.",34,1990,La Femme Nikita,0,5000000,57298.0,Anne Parillaud,Nikita,Female
34,41003,"Max Baron is a Jewish advertising executive in his 20s who's still getting over the death of his wife. Nora Baker is a 40-something diner waitress who enjoys the wilder side of life. Mismatched or not, their attraction is instant and smoldering. With time, however, their class and age differences become an obstacle in their relationship, especially since Max can't keep Nora a secret from his Jewish friends and upper-crust associates forever.",35,1990,White Palace,0,17487531,4038.0,Susan Sarandon,Nora Baker,Female
35,11587,"Set fifteen years after the original film, The Exorcist III centers around the philosophical Lieutenant William F. Kinderman who is investigating a baffling series of murders around Georgetown that all contain the hallmarks of The Gemini, a deceased serial killer. It eventually leads him to a catatonic patient in a psychiatric hospital who has recently started to speak, claiming he is the The Gemini and detailing the murders, but bears a striking resemblance to Father Damien Karras.",36,1990,The Exorcist III,0,39024251,862.0,George C. Scott,Lt. William 'Bill' Kinderman,Male
36,11077,"Ben Healy (John Ritter) and his social climbing wife Flo adopt Junior a fun-loving seven year old. But they soon discover he's a little monster as he turns a camping trip, a birthday party and even a baseball game into comic nightmares. But is he really just a little angel trying to get out? Find out in this hilarious satire on modern-day family life.",37,1990,Problem Child,15000000,0,27772.0,John Ritter,Ben,Male
37,10837,"Scrooge McDuck, his dimwitted pilot Launch Pad, and his nephews Huey, Dewey and Louie, with Webby, arrive in Egypt where Scrooge finds the lost treasure of Collie Baba, unbeknownst to Scrooge, a magic lamp was included inside the treasure, so while the nephews have fun with the genie, they all have no idea that they're being stalked by a power hungry sorcerer named Murlock and his dimwitted thief.",38,1990,DuckTales: The Movie - Treasure of the Lost Lamp,0,18115724,21874.0,Alan Young,Scrooge McDuck,Male
38,11909,"When three close friends escape from Hong Kong to war-time Saigon to start a criminal's life, they all go through a harrowing experience which totally shatters their lives and their friendship forever.",39,1990,Bullet in the Head,3500000,0,1337.0,Tony Leung Chiu-Wai,Ben,Male
39,11856,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.",40,1990,Air America,0,33461269,2461.0,Mel Gibson,Gene Ryack,Male
40,379,"Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",41,1990,Miller's Crossing,14000000,5080409,1241.0,John Turturro,Bernie Bernbaum,Male
41,1727,"A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge.",42,1990,Bird on a Wire,20000000,0,2461.0,Mel Gibson,Rick Jarmin,Male
42,9586,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight, and attracting the interest of a down and out reporter.",43,1990,The Bonfire of the Vanities,47000000,15691192,31.0,Tom Hanks,Sherman McCoy,Male
43,11092,"Life takes a nasty twist for D.A. Rusty Sabich when the woman he has been romantically involved with is murdered. He is assigned to investigate the case, but is soon charged with the murder.",44,1990,Presumed Innocent,22000000,221303188,3.0,Harrison Ford,"Rozat ""Rusty"" Sabich",Male
44,2291,A traumatized Vietnam war veteran finds out that his post-war life isn't what he believes it to be when he's attacked by horned creatures in the subway and his dead son comes to visit him...,45,1990,Jacob's Ladder,25000000,25965144,504.0,Tim Robbins,Jacob Singer,Male
45,9362,"Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.",46,1990,Tremors,11000000,48572000,4724.0,Kevin Bacon,Valentine McKee,Male
46,32669,"This sequel to the classic Chinatown finds private detective Jake Gittes still haunted from the events of the first film. Hired by a man to investigate his wife's infidelities, Jake once again finds himself involved in a complicated plot involving murder, oil, and even some ghosts from his past.",47,1990,The Two Jakes,19000000,10000000,514.0,Jack Nicholson,"J.J. ""Jake"" Gittes",Male
47,34636,"Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.",48,1990,The NeverEnding Story II: The Next Chapter,32000000,16283667,27773.0,Jonathan Brandis,Bastian Bux,Male
48,17466,"The Canadian policeman Louis Burke is assigned in a jail to investigate in some murders of prisoners and jailors. When in jail, Lois, using his outstandings martial arts is able to save his life and make himself respected in that violent world. At least, helped by two another prisoners, he succeded in finding the truth about the dreadful crimes.",49,1990,Death Warrant,4000000,16853487,15111.0,Jean-Claude Van Damme,Louis Burke,Male
49,11131,"Brian and Charlie work for a gangster. When the boss learns they want to ""leave"" he sets them up to be killed, after they help rob the local Triads of their drug dealing profits. B&amp;C decide to steal the money for themselves, but when their escape doesn't go to plan, they have to seek refuge in a Nuns' teacher training school.",50,1990,Nuns on the Run,10959015,0,10713.0,Eric Idle,Brian Hope,Male
50,427910,"During a rescue mission, a team of Navy Seals discover that a terrorist group have access to deadly US built Stinger missiles, and must set out to locate and destroy them before they can be used.",51,1990,Navy Seals,0,25069101,6952.0,Charlie Sheen,Lt. Dale Hawkins,Male
51,21811,"Rival groups in a skiing school do battle on and off the piste. One gang are rich and serious, the other group are party animals.",52,1990,Ski School,0,0,64057.0,Dean Cameron,Dave Marshak,Male
52,12516,A collection of magical tales based upon the actual dreams of director Akira Kurosawa.,53,1990,Dreams,0,0,70132.0,Akira Terao,I,Male
53,38718,"Wealthy Sunny von Bülow lies brain-dead, husband Claus guilty of attempted murder; but he says he's innocent and hires Alan Dershowitz for his appeal.",54,1990,Reversal of Fortune,0,15445131,515.0,Glenn Close,Sunny von Bülow / Narrator,Female
54,28090,"A supernatural, maniac killer cop teams up with a Times Square serial killer.",55,1990,Maniac Cop 2,4000000,0,80579.0,Robert Z'Dar,Matt Cordell,Male
55,19185,"In this remake of the original classic film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.",56,1990,Night of the Living Dead,4200000,5835247,11768.0,Patricia Tallman,Barbara,Female
56,41823,"Opens with Bleek as a child learning to play the trumpet, his friends want him to come out and play but mother insists he finish his lessons. Bleek grows into adulthood and forms his own band - The Bleek Gilliam Quartet. The story of Bleek's and Shadow's friendly rivalry on stage which spills into their professional relationship and threatens to tear apart the quartet.",57,1990,Mo' Better Blues,10000000,16153593,5292.0,Denzel Washington,Bleek Gilliam,Male
57,18943,"Bumbling Ernest P. Worrell is assigned to jury duty, where a crooked lawyer notices a resemblance with crime boss Mr. Nash, and arranges a switch. Nash assumes Ernest's job as a bank employee, while Ernest undergoes Nash's sentence to the electric chair. But instead of killing him, the electrocution gives Ernest superhuman powers, enabling him to escape from jail and foil Nash's attempt to rob the bank.",58,1990,Ernest Goes to Jail,0,0,12899.0,Jim Varney,Ernest P. Worrell,Male
59,11595,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",60,1990,Another 48 Hrs.,38000000,153518974,776.0,Eddie Murphy,Reggie Hammond,Male
60,25831,"Long ago in a land with an ailing king, there was a pair of boys who looked exactly alike, a pauper called Mickey and the other, the Crown Prince.",61,1990,The Prince and the Pauper,0,0,78076.0,Wayne Allwine,Mickey Mouse / Prince (voice),Male
61,10170,An expatriate British publisher unexpectedly finds himself working for British intelligence to investigate people in Russia.,62,1990,The Russia House,22997992,0,738.0,Sean Connery,Bartholomew 'Barley' Scott Blair,Male
62,12651,"The ""Memphis Belle"" is a World War II bomber, piloted by a young crew on dangerous bombing raids into Europe. The crew only have to make one more bombing raid before they have finished their duty and can go home. In the briefing before their last flight, the crew discover that the target for the day is Dresden, a heavily-defended city that invariably causes many Allied casualties",63,1990,Memphis Belle,23000000,0,8654.0,Matthew Modine,Capt. Dennis Dearborn,Male
64,9399,"Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.",65,1990,Lionheart,6000000,24078196,15111.0,Jean-Claude Van Damme,Leon Gaultier,Male
65,14249,"Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.",66,1990,Revenge,0,15645616,1269.0,Kevin Costner,Michael J. Cochran,Male
67,6723,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",68,1990,The Rookie,10000000,21633874,190.0,Clint Eastwood,Nick Pulovski,Male
68,9556,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",69,1990,Darkman,16000000,48878502,3896.0,Liam Neeson,Peyton Westlake / Darkman,Male
69,25528,"The two American Ninjas, Joe Armstrong and Sean Davidson, team up to do battle against a terrorist and his band of Ninjas.",70,1990,American Ninja 4: The Annihilation,0,0,21259.0,Michael Dudikoff,Joe Armstrong,Male
70,65497,An undercover cop teams up with a martial-arts expert to stop a gang of drug smugglers and car thieves.,71,1990,Martial Law,0,0,23920.0,Chad McQueen,Sean Thompson,Male
71,40729,It's been five years since Terry's friend Glen discovered The Gate to hell in his backyard. Glen has now moved away and Terry begins practicing rituals in Glen's old house and eventually bringing back demons through The Gate and leading to demoniac possession and near world domination.,72,1990,The Gate II: Trespassers,6500000,0,21063.0,Pamela Adlon,Liz,Female
72,26612,"Young Jim Hawkins, while running the Benbow Inn with his mother, meets Captain Billy Bones, who dies at the inn while it is beseiged by buccaneers led by Blind Pew. Jim and his mother fight off the attackers and discover Billy Bones' treasure map for which the buccaneers had come. Jim agrees to sail on the S.S. Espaniola with Squire Trelawney and Dr. Livesey to find the treasure on a mysterious isiand. Upon arriving at the island, ship's cook and scaliwag Long John Silver leads a mutiny of crew members who want the treasure for themselves. Jim helps the Squire and Espaniola officers to survive the mutiny and fight back against Silver's men, who have taken over the Espaniola.",73,1990,Treasure Island,0,0,10017.0,Charlton Heston,Long John Silver,Male
73,21433,"Gus is a fat cartoonist that recently won a battle against cancer, which explains his baldness. But he is also lonely. Therefore, his caring sister tries to set him up with suitable woman. But to do so, she must turn him into an irresistible man. When he falls in love with Emily, Gus takes the identity of a mysterious biker from New Zealand.",74,1990,Don't Tell Her It's Me,0,0,26472.0,Steve Guttenberg,Gus Kubicek,Male
74,142946,"A jewel thief steals a sacred ruby which sets off a chase by the police, the Turkish government, nutty American terrorists, and the CIA.",75,1990,Why Me?,0,0,38559.0,Christopher Lambert,Gus Cardinale,Male
75,2469,"Recently released from a mental hospital, Ricky ties up Marina, a film star he once had sex with and keeps her hostage.",76,1990,Tie Me Up! Tie Me Down!,0,0,25256.0,Victoria Abril,Marina Osorio,Female
76,118430,"Filmed during the Lambada dance craze (if there really ever was one), this film tries to have a social conscience. A princess (Laura Herring) in the Amazon rain forests tries to fight a conglomerate threatening the forests by going to Los Angeles. There she links up with a rich kid (Jeff James) who tells her that she must get on tv to succeed with her mission. Quick as a wink the two come up with the idea of winning a lambada dance contest that is getting tv attention. Sid Haig also co-stars as a witch doctor who accompanies the princess and provides some humor.",77,1990,The Forbidden Dance,0,0,15007.0,Laura Harring,Nisa,Female
77,32638,"The plot chronicles the exploits of Michael, a teenager who is using marijuana and stealing his father's beer. His younger sister, Corey, is worried about him because he started acting differently. When her piggy bank goes missing, her cartoon tie-in toys come to life to help her find it. After discovering it in Michael's room along with his stash of drugs, the various cartoon characters proceed to work together and take him on a fantasy journey to teach him the risks and consequences a life of drug-use can bring and save the world.",78,1990,Cartoon All-Stars to the Rescue,0,0,61983.0,Jason Marsden,Michael,Male
78,9558,A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,79,1990,King of New York,1000000,2554476,4690.0,Christopher Walken,Frank White,Male
79,21168,"A young boy tries to cope with rural life circa 1950s and his fantasies become a way to interpret events. After his father tells him stories of vampires, he becomes convinced that the widow up the road is a vampire, and tries to find ways of discouraging his brother from seeing her.",80,1990,The Reflecting Skin,0,0,110.0,Viggo Mortensen,Cameron Dove,Male
80,11060,"Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila.",81,1990,Internal Affairs,0,27734391,1205.0,Richard Gere,Dennis Peck,Male
81,9086,"Only three of the original five ""young guns"" -- Billy the Kid (Emilio Estevez), Jose Chavez y Chavez (Lou Diamond Phillips), and Doc Scurlock (Kiefer Sutherland) -- return in Young Guns, Part 2, which is the story of Billy the Kid and his race to safety in Old Mexico while being trailed by a group of government agents led by Pat Garrett",82,1990,Young Guns II,20000000,0,2880.0,Emilio Estevez,William H. 'Billy the Kid' Bonney,Male
82,9588,"American Matt Quigley answers Australian land baron Elliott Marston's ad for a sharpshooter to kill the dingoes on his property. But when Quigley finds out that Marston's real target is the aborigines, Quigley hits the road. Now, even American expatriate Crazy Cora can't keep Quigley safe in his cat-and-mouse game with the homicidal Marston.",83,1990,Quigley Down Under,0,0,15112.0,Tom Selleck,Matthew Quigley,Male
83,10264,"Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.",84,1990,Hamlet,0,20710451,2461.0,Mel Gibson,Hamlet,Male
84,10729,"With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.",85,1990,Quick Change,15000000,15260154,1532.0,Bill Murray,Grimm,Male
85,37865,"Clint is an every day working man whose wife Joanna is having an affair with a doctor. They plot to kill him and get the insurance money. Only trouble the drug overdose they give him doesn't kill him. Lucky for Clint he's buried in a cheap wooden box and he unburies himself. Just remember, Hell hath no fury like a man buried alive!",86,1990,Buried Alive,0,0,21561.0,Tim Matheson,clint goodman,Male
86,40346,"Sing, a dumb, lovable mainlander with supernatural powers comes to China to visit his uncle Tat. When it's revealed that Sing can see through objects, Tat employs him as ""The Saint of Gamblers,"" and proceeds to set him loose in the gambling world.",87,1990,All for the Winner,0,0,57607.0,Stephen Chow,Sing,Male
87,11673,"Embarrassed by his large nose, a romantic poet/soldier romances his cousin by proxy.",88,1990,Cyrano de Bergerac,0,0,16927.0,Gérard Depardieu,Cyrano de Bergerac,Male
88,10173,"Just retired from the Drug Enforcement Agency, John Hatcher returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses paths with a ferocious Jamaican drug lord who vows that Hatcher and his family are now marked for death.",89,1990,Marked for Death,12000000,46044400,23880.0,Steven Seagal,John Hatcher,Male
89,154566,"A small town is terrorized by an unknown stranger who kidnaps and abuses little girls. When her only child is kidnapped right in front of her, the school bus driver begins the desperate chase to catch the criminal.",90,1990,Wheels of Terror,0,0,593.0,Joanna Cassidy,Laura,Female
90,10169,"Two garbage men find the body of a city councilman in a trash can on their route. With help from a supervisor, the duo must solve the case and find the man's killer while hiding the body from the cops.",91,1990,Men at Work,0,0,6952.0,Charlie Sheen,Carl Taylor,Male
91,9356,"Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time.",92,1990,Look Who's Talking Too,0,0,8891.0,John Travolta,James Ubriacco,Male
92,31923,"Movie star Roxy Carmichael is abandoning the bright lights of Hollywood, Calif. and returning to her small Ohio hometown -- at least long enough to dedicate a city building. And now the whole town of Clyde is bracing for Carmichael's return, most of all her now-married old flame Denton Webb and troubled teen Dinky Bossetti. An orphan with few friends, Dinky is convinced that Carmichael is her birth mother, and that the actress will reclaim her when she returns.",93,1990,"Welcome Home, Roxy Carmichael",0,3989297,1920.0,Winona Ryder,Dinky Bossetti,Female
93,44283,"The Wicked Queen is dead but her brother, Lord Maliss, seeks for revenge. Using the Magic Mirror to locate Snow White and the Prince, he transforms into a dragon and attacks. Maliss takes the Prince to the Realm of Doom. Snow White, with the aid of the Seven Dwarfesses, cousins of the Sevens Dwarves, must embark on a quest to save her true love.",94,1990,Happily Ever After,0,0,32385.0,Irene Cara,Snow White (voice),Female
94,16094,"Young Kid has been invited to a party at his friend Play's house. But after a fight at school, Kid's father grounds him. None the less, Kid sneaks out when his father falls asleep. But Kid doesn't know that three of the thugs at school have decided to give him a lesson in behavior.",95,1990,House Party,2500000,26386000,79320.0,Christopher Reid,Kid,Male
