,actor id,actor name,character,gender,movie id,title
1362,3291,Hugh Grant,The Prime Minister,Male,508,Love Actually
1363,12073,Mike Myers,The Cat,Male,10588,The Cat in the Hat
1364,17303,Ali Larter,Clear Rivers,Female,9358,Final Destination 2
1365,57207,Tony Jaa,Ting,Male,9316,Ong Bak: Muay Thai Warrior
1366,67773,Steve Martin,Tom Baker,Male,11007,Cheaper by the Dozen
1367,29220,Amanda Bynes,Daphne Reynolds,Female,10735,What a Girl Wants
1368,20666,Samy Naceri,Daniel Morales,Male,2334,Taxi 3
1370,16927,Gérard Depardieu,Quentin,Male,7229,Ruby & Quentin
1371,78029,Martin Lawrence,Earl Montgomery,Male,11078,National Security
1372,1336,Jet Li,Su,Male,10623,Cradle 2 the Grave
1373,21742,Fabian Hinrichs,Lukas Eiserbeck,Male,48856,Gun-shy
1374,65838,Jeremy Sumpter,Peter Pan,Male,10601,Peter Pan
1375,6384,Keanu Reeves,"Thomas ""Neo"" Anderson (Voice)",Male,55931,The Animatrix
1376,66717,Anthony Wong,Inspector Wong Chi Shing,Male,11647,Infernal Affairs II
1377,5292,Denzel Washington,"Matthias "" Lee "" Whitlock",Male,2116,Out of Time
1378,7918,Bud Luckey,Narrator,Male,13062,Boundin'
1380,18976,Ashton Kutcher,Tom Leezak,Male,12090,Just Married
1381,18897,Jackie Chan,Chon Wang,Male,6038,Shanghai Knights
1382,2228,Sean Penn,Jimmy Markum,Male,322,Mystic River
1383,9642,Jude Law,Inman,Male,2289,Cold Mountain
1384,9976,Henry Thomas,Jack,Male,9282,11:14
1385,36422,Luke Wilson,Mitch Martin,Male,11635,Old School
1386,17522,Cécile de France,Marie,Female,10226,High Tension
1387,67711,French Stewart,Inspector Gadget,Male,19766,Inspector Gadget 2
1388,1580,Daveigh Chase,Lilo (voice),Female,15567,Stitch! The Movie
1389,10859,Ryan Reynolds,Kevin,Male,14527,Foolproof
1390,3131,Antonio Banderas,El Mariachi,Male,1428,Once Upon a Time in Mexico
1391,5695,Sid Haig,Captain Spaulding,Male,2662,House of 1000 Corpses
1392,1269,Kevin Costner,Charley Waite,Male,2055,Open Range
1393,1158,Al Pacino,Walter Burke,Male,1647,The Recruit
1394,18918,Dwayne Johnson,Beck,Male,10159,The Rundown
1396,2228,Sean Penn,Paul Rivers,Male,470,21 Grams
1397,10205,Sigourney Weaver,Warden Walker,Female,8326,Holes
1398,2888,Will Smith,Del Spooner,Male,2048,"I, Robot"
1399,8977,Craig T. Nelson,Bob Parr / Mr. Incredible (voice),Male,9806,The Incredibles
1400,10980,Daniel Radcliffe,Harry Potter,Male,673,Harry Potter and the Prisoner of Azkaban
1401,533325,Chieko Baishô,Sofî (voice),Female,4935,Howl's Moving Castle
1402,62439,David Belle,Leïto,Male,10045,District B13
1403,1813,Anne Hathaway,Mia Thermopolis,Female,11130,The Princess Diaries 2: Royal Engagement
1404,2130,Cary Elwes,Dr. Lawrence Gordon,Male,176,Saw
1405,6065,Dennis Quaid,Jack Hall,Male,435,The Day After Tomorrow
1406,11108,Simon Pegg,Shaun,Male,747,Shaun of the Dead
1407,46593,Emile Hirsch,Matthew Kidman,Male,10591,The Girl Next Door
1408,139,Uma Thurman,Beatrix 'The Bride' Kiddo,Female,393,Kill Bill: Vol. 2
