,actor id,actor name,character,gender,id,movie release year,title,age,place of birth
113,929937,Stephanie Sigman,Sister Charlotte,Female,396422,2017,Annabelle: Creation,30,"Ciudad Obregon, Sonora, Mexico"
114,1464589,Matilda Anna Ingrid Lutz,Jen,Female,467938,2017,Revenge,26," Milan, Italy"
115,887,Owen Wilson,Lightning McQueen (voice),Male,260514,2017,Cars 3,49," Dallas, Texas, USA"
116,10859,Ryan Reynolds,Michael Bryce,Male,390043,2017,The Hitman's Bodyguard,41,"Vancouver, British Columbia, Canada"
117,18897,Jackie Chan,Lin Dong,Male,460648,2017,Bleeding Steel,63,"Victoria Peak, Hong Kong"
118,1543094,Erika Linder,Dallas,Female,370663,2017,Below Her Mouth,27," Stockholm,  Sweden"
119,6885,Charlize Theron,Lorraine Broughton,Female,341013,2017,Atomic Blonde,42,"Benoni, Gauteng, South Africa"
120,583479,Aaron Moorhead,Aaron Smith,Male,430231,2017,The Endless,0,
121,27578,Ellen Page,Courtney,Female,400710,2017,Flatliners,30,"Halifax, Nova Scotia, Canada"
122,91520,Michiel Huisman,Ismail,Male,433356,2017,The Ottoman Lieutenant,36,"Amstelveen, Noord-Holland, Netherlands"
123,1525047,Dacre Montgomery,Jason Lee Scott / The Red Ranger,Male,305470,2017,Power Rangers,23,
124,109513,Alexandra Daddario,Kate Jeffries,Female,339404,2017,The Layover,31,"New York City, New York, USA"
125,17276,Gerard Butler,Jake Lawson,Male,274855,2017,Geostorm,48,"Paisley, Scotland, UK "
126,3910,Frances McDormand,Mildred Hayes,Female,359940,2017,"Three Billboards Outside Ebbing, Missouri",60,"Chicago, Illinois, USA "
127,36592,Saoirse Ronan,"Christine ""Lady Bird"" McPherson",Female,391713,2017,Lady Bird,23,"The Bronx, New York, USA"
128,1228915,Matt Passmore,Logan Nelson,Male,298250,2017,Jigsaw,44,Wynnum-Manly - Queensland - Australia
129,1118081,Bethany Joy Lenz,Julie Riley,Female,333354,2017,Extortion,36,Hollywood - Florida - USA
130,54697,Dave Franco,Lloyd (voice),Male,274862,2017,The LEGO Ninjago Movie,32,"Palo Alto, California, USA"
131,1246,Emily Mortimer,Florence Green,Female,444539,2017,The Bookshop,46,"London, England, UK"
132,1159982,Ansel Elgort,"Miles ""Baby""",Male,339403,2017,Baby Driver,23,"Manhattan, New York, USA"
133,131,Jake Gyllenhaal,Dr. David Jordan,Male,395992,2017,Life,37,"Los Angeles, California, USA"
134,1277188,Jacob Tremblay,August 'Auggie' Pullman,Male,406997,2017,Wonder,11,"Vancouver, British Columbia, Canada"
135,1538780,Judah Lewis,Cole Johnson,Male,419479,2017,The Babysitter,0,
136,84223,Anna Kendrick,Beca Mitchell,Female,353616,2017,Pitch Perfect 3,32,"Portland, Maine, USA"
137,10822,Stephen Dorff,Texas Ranger Hal Hartman,Male,300665,2017,Leatherface,44,"Atlanta, Georgia, USA"
138,134423,Timothy Omundson,Lance Walters,Male,462883,2017,Woody Woodpecker,48,"St. Joseph, Missouri, USA"
139,237045,Prabhas,Amarendra Baahubali / Mahendra Baahubali,Male,350312,2017,Baahubali 2: The Conclusion,38,"Chennai, Tamil Nadu, India"
140,3292,Nicholas Hoult,Martin Hallock,Male,434203,2017,Newness,28,"Wokingham, England, UK"
141,85138,Demi Lovato,Smurfette (voice),Female,137116,2017,Smurfs: The Lost Village,25,"Albuquerque, New Mexico, USA"
142,3131,Antonio Banderas,Eduardo 'Eddie' Deacon,Male,460846,2017,Security,57,"Málaga, Andalucía, Spain "
143,4495,Steve Carell,Gru / Dru (voice),Male,324852,2017,Despicable Me 3,55,"Concord, Massachusetts, USA"
144,18918,Dwayne Johnson,Dr. Smolder Bravestone,Male,353486,2017,Jumanji: Welcome to the Jungle,45,"Hayward, California, USA"
145,10980,Daniel Radcliffe,Yossi Ghinsberg,Male,390062,2017,Jungle,28,"Hammersmith, London, England, UK"
146,17605,Idris Elba,Roland Deschain,Male,353491,2017,The Dark Tower,45,"Hackney, London, England, UK"
147,56446,John Cena,Ferdinand (voice),Male,364689,2017,Ferdinand,40,West Newbury - Massachusetts - USA
148,62,Bruce Willis,Steve,Male,345915,2017,Once Upon a Time in Venice,62,"Idar-Oberstein, Allemagne de l'Ouest"
149,64,Gary Oldman,Winston Churchill,Male,399404,2017,Darkest Hour,59,"New Cross, London, England, UK"
